City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
338,Bhinmal,IN,25.0,72.25,84.85,22,0,6.85,clear sky
339,Fare,PF,-16.7,-151.02,80.24,77,9,13.35,clear sky
340,Beringovskiy,RU,63.05,179.32,31.21,90,75,15.88,broken clouds
341,Port Blair,IN,11.67,92.75,84.76,70,0,11.68,clear sky
342,Plettenberg Bay,ZA,-34.05,23.37,62.28,73,67,2.82,broken clouds
343,Njinikom,CM,6.23,10.28,61.21,78,99,3.33,overcast clouds
344,Sarai,RU,53.75,41.02,38.12,92,100,15.75,overcast clouds
345,Petropavlovka,RU,50.61,105.32,29.5,79,55,4.85,broken clouds
346,Copiapo,CL,-27.37,-70.33,55.4,87,15,8.05,few clouds
347,Umm Lajj,SA,25.02,37.27,74.43,57,59,7.83,broken clouds
348,Baykit,RU,61.67,96.37,12.88,92,100,4.29,light snow
349,Atambua,ID,-9.11,124.89,90.28,36,0,0.78,clear sky
350,Tessalit,ML,20.2,1.01,69.51,23,13,12.39,few clouds
351,Muroto,JP,33.28,134.15,69.8,94,75,4.7,broken clouds
352,Harnosand,SE,62.63,17.94,41.0,93,13,3.36,few clouds
353,Harrison,US,30.41,-89.04,69.8,83,1,7.7,clear sky
354,Voyvozh,RU,62.89,54.96,29.14,99,46,3.38,scattered clouds
355,Lodhran,PK,29.54,71.63,84.99,14,0,2.04,clear sky
356,Corner Brook,CA,48.97,-57.95,51.8,87,90,2.24,overcast clouds
357,Mehamn,NO,71.04,27.85,39.85,72,57,25.03,broken clouds
358,Udachnyy,RU,66.42,112.4,5.0,84,90,2.24,overcast clouds
359,Paka,MY,4.64,103.44,87.8,74,40,1.12,scattered clouds
360,La Ronge,CA,55.1,-105.28,15.8,85,31,2.24,scattered clouds
361,Pangnirtung,CA,66.15,-65.71,11.71,86,100,3.22,overcast clouds
362,Acapulco,MX,16.86,-99.89,78.1,83,77,5.77,broken clouds
